season,player,team,tenure_years
2018,CJ Anderson,Royal Challengers Bengaluru,1
2018,CJ Dala,Delhi Capitals,1
2011,CJ Ferguson,Pune Warriors,1
2012,CJ Ferguson,Pune Warriors,2
2020,CJ Green,Kolkata Knight Riders,1
2016,CJ Jordan,Royal Challengers Bengaluru,1
2017,CJ Jordan,Sunrisers Hyderabad,1
2018,CJ Jordan,Sunrisers Hyderabad,2
2020,CJ Jordan,Punjab Kings,1
2021,CJ Jordan,Punjab Kings,2
2022,CJ Jordan,Chennai Super Kings,1
2023,CJ Jordan,Mumbai Indians,1
2012,CJ McKay,Mumbai Indians,1
2008,CK Kapugedera,Chennai Super Kings,1
2009,CK Langeveldt,Kolkata Knight Riders,1
2010,CK Langeveldt,Kolkata Knight Riders,2
2011,CK Langeveldt,Royal Challengers Bengaluru,1
2008,CL White,Royal Challengers Bengaluru,1
2010,CL White,Royal Challengers Bengaluru,1
2011,CL White,Deccan Chargers,1
2012,CL White,Deccan Chargers,2
2013,CL White,Sunrisers Hyderabad,1
2013,CM Gautam,Delhi Capitals,1
2014,CM Gautam,Mumbai Indians,1
2015,CM Gautam,Delhi Capitals,1
2016,CR Brathwaite,Delhi Capitals,1
2017,CR Brathwaite,Delhi Capitals,2
2018,CR Brathwaite,Sunrisers Hyderabad,1
2019,CR Brathwaite,Kolkata Knight Riders,1
2017,CR Woakes,Kolkata Knight Riders,1
2018,CR Woakes,Royal Challengers Bengaluru,1
2021,CR Woakes,Delhi Capitals,1
2008,CRD Fernando,Mumbai Indians,1
2010,CRD Fernando,Mumbai Indians,1
2019,CV Varun,Punjab Kings,1
2020,CV Varun,Kolkata Knight Riders,1
2021,CV Varun,Kolkata Knight Riders,2
2022,CV Varun,Kolkata Knight Riders,3
2023,CV Varun,Kolkata Knight Riders,4
2024,CV Varun,Kolkata Knight Riders,5
2025,CV Varun,Kolkata Knight Riders,6
2022,D Brevis,Mumbai Indians,1
2024,D Brevis,Mumbai Indians,1
2025,D Brevis,Chennai Super Kings,1
2024,D Ferreira,Rajasthan Royals,1
2025,D Ferreira,Delhi Capitals,1
2023,D Jansen,Mumbai Indians,1
2008,D Kalyankrishna,Deccan Chargers,1
2020,D Padikkal,Royal Challengers Bengaluru,1
2021,D Padikkal,Royal Challengers Bengaluru,2
2022,D Padikkal,Rajasthan Royals,1
2023,D Padikkal,Rajasthan Royals,2
2024,D Padikkal,Lucknow Super Giants,1
2025,D Padikkal,Royal Challengers Bengaluru,1
2022,D Pretorius,Chennai Super Kings,1
2023,D Pretorius,Chennai Super Kings,2
2008,D Salunkhe,Rajasthan Royals,1
2015,D Wiese,Royal Challengers Bengaluru,1
2016,D Wiese,Royal Challengers Bengaluru,2
2023,D Wiese,Kolkata Knight Riders,1
2009,D du Preez,Royal Challengers Bengaluru,1
