season,team,team_tenure_density,mix_change_magnitude
2013,Chennai Super Kings,3.654054054054054,15.772377235838317
2013,Delhi Capitals,2.76878612716763,16.467706447948988
2013,Kolkata Knight Riders,2.633136094674556,5.2208630892574375
2013,Mumbai Indians,3.2892156862745097,16.627769503454612
2013,Pune Warriors,1.912280701754386,20.609368639422335
2013,Punjab Kings,2.636904761904762,14.906114680371804
2013,Rajasthan Royals,2.672043010752688,36.557766836758546
2013,Royal Challengers Bengaluru,2.3435582822085887,31.31281136890226
2013,Sunrisers Hyderabad,1.0,
2014,Chennai Super Kings,2.9447852760736195,32.70235696566749
2014,Delhi Capitals,1.3137254901960784,26.179731982771084
2014,Kolkata Knight Riders,2.0060240963855422,10.604167945378968
2014,Mumbai Indians,3.130434782608696,21.86720480119501
2014,Punjab Kings,1.4505494505494505,24.45389325614646
2014,Rajasthan Royals,2.27027027027027,44.46615898365973
2014,Royal Challengers Bengaluru,2.08,19.878530094016863
2014,Sunrisers Hyderabad,1.4333333333333333,48.06007976003205
2015,Chennai Super Kings,3.9782608695652173,15.104855753413734
2015,Delhi Capitals,1.6027397260273972,17.242685405650096
2015,Kolkata Knight Riders,2.6879432624113475,23.115630730889137
2015,Mumbai Indians,3.5813953488372094,44.75833936001435
2015,Punjab Kings,2.196078431372549,19.212442126393288
2015,Rajasthan Royals,2.895104895104895,15.842944365908481
2015,Royal Challengers Bengaluru,2.782051282051282,9.761724015397805
2015,Sunrisers Hyderabad,1.9054054054054055,34.538954410986975
2016,Delhi Capitals,1.825503355704698,6.342078487472573
2016,Gujarat Lions,1.0,
2016,Kolkata Knight Riders,3.3354430379746836,10.968864310232892
2016,Mumbai Indians,3.710526315789474,25.034293524009307
2016,Punjab Kings,2.6907894736842106,24.290167324384175
2016,Rising Pune Supergiant,1.0,
2016,Royal Challengers Bengaluru,3.0,16.237551038636283
2016,Sunrisers Hyderabad,2.2134831460674156,43.44570895085601
2017,Delhi Capitals,2.223684210526316,46.37705629834588
2017,Gujarat Lions,1.7682119205298013,10.121828534298068
2017,Kolkata Knight Riders,3.5988023952095807,20.52011222928112
2017,Mumbai Indians,4.048913043478261,21.16963772889892
2017,Punjab Kings,3.206896551724138,31.734832822883998
2017,Rising Pune Supergiant,1.3705882352941177,35.53612312406143
2017,Royal Challengers Bengaluru,3.1702127659574466,19.174845738175843
2017,Sunrisers Hyderabad,2.765957446808511,50.058260929059365
2018,Chennai Super Kings,1.0,
2018,Delhi Capitals,2.0463576158940397,20.848945824823065
2018,Kolkata Knight Riders,2.6511627906976742,5.527212812614842
2018,Mumbai Indians,3.2133333333333334,27.56262465137814
2018,Punjab Kings,1.5733333333333333,32.6524029137077
2018,Rajasthan Royals,1.0,
2018,Royal Challengers Bengaluru,2.9072847682119205,30.297523386001874
2018,Sunrisers Hyderabad,2.303370786516854,29.344188422049413
2019,Chennai Super Kings,1.9613259668508287,17.548975200793958
2019,Delhi Capitals,2.262857142857143,26.794897534236767
2019,Kolkata Knight Riders,3.2945205479452055,41.06134377258692
2019,Mumbai Indians,3.9302325581395348,13.462877983132977
2019,Punjab Kings,1.9395973154362416,27.25554247651077
2019,Rajasthan Royals,1.7619047619047619,8.810684447260543
2019,Royal Challengers Bengaluru,3.668918918918919,33.8195379512886
2019,Sunrisers Hyderabad,2.5477707006369426,26.961066583500124
2020,Chennai Super Kings,2.475862068965517,13.650951738404144
2020,Delhi Capitals,2.3189189189189188,33.40704401595376
2020,Kolkata Knight Riders,2.461038961038961,14.095740771222674
2020,Mumbai Indians,4.378698224852071,28.690447242863286
2020,Punjab Kings,1.8859060402684564,40.10032012426753
2020,Rajasthan Royals,2.134228187919463,19.357667508582367
2020,Royal Challengers Bengaluru,4.03125,5.402659775663326
2020,Sunrisers Hyderabad,2.5783132530120483,43.71369793327672
2021,Chennai Super Kings,3.0,28.147866481693473
2021,Delhi Capitals,3.208092485549133,48.62355116114474
2021,Kolkata Knight Riders,3.2747252747252746,34.293101207129176
2021,Mumbai Indians,5.453947368421052,25.504572008413025
2021,Punjab Kings,2.539473684210526,61.1778311709632
2021,Rajasthan Royals,2.066225165562914,33.84992464688797
2021,Royal Challengers Bengaluru,4.327044025157233,17.84180056815857
2021,Sunrisers Hyderabad,3.7666666666666666,20.079559824919873
2022,Chennai Super Kings,2.5,31.85784417328926
2022,Delhi Capitals,2.2244897959183674,20.764782394473038
2022,Gujarat Titans,1.0,
2022,Kolkata Knight Riders,3.045751633986928,18.49332698732755
2022,Lucknow Super Giants,1.0,
2022,Mumbai Indians,4.259740259740259,19.02236266669934
2022,Punjab Kings,1.781456953642384,55.0717695506281
2022,Rajasthan Royals,2.092391304347826,16.705586495278272
2022,Royal Challengers Bengaluru,3.1091954022988504,16.51615511353945
2022,Sunrisers Hyderabad,2.9864864864864864,16.189627852299193
2023,Chennai Super Kings,2.9714285714285715,20.1184699832547
2023,Delhi Capitals,2.245398773006135,9.191353111536177
2023,Gujarat Titans,1.7771739130434783,21.659011543380576
2023,Kolkata Knight Riders,3.380952380952381,18.61426121207057
2023,Lucknow Super Giants,1.6011560693641618,20.955884260189688
2023,Mumbai Indians,3.152173913043478,22.687973903842718
2023,Punjab Kings,2.6158536585365852,37.646519246666614
2023,Rajasthan Royals,2.687116564417178,29.643783039782914
2023,Royal Challengers Bengaluru,3.745222929936306,37.27664387176341
2023,Sunrisers Hyderabad,2.792682926829268,16.72062150956709
2024,Chennai Super Kings,3.05625,42.28347454251785
2024,Delhi Capitals,2.542682926829268,12.684051015981586
2024,Gujarat Titans,2.2357142857142858,13.80757006737479
2024,Kolkata Knight Riders,3.764705882352941,19.69317084840398
2024,Lucknow Super Giants,2.441717791411043,21.518663043036742
2024,Mumbai Indians,3.4424242424242424,13.318166519734216
2024,Punjab Kings,2.932926829268293,29.280993179373095
2024,Rajasthan Royals,3.4647058823529413,38.78950055085868
2024,Royal Challengers Bengaluru,3.64,25.727581119870003
2024,Sunrisers Hyderabad,3.3532608695652173,28.736364079313695
2025,Chennai Super Kings,2.83030303030303,23.67128769440123
2025,Delhi Capitals,2.1595092024539877,20.435669492389575
2025,Gujarat Titans,2.1588235294117646,20.508764473724
2025,Kolkata Knight Riders,4.280575539568345,58.15438241930794
2025,Lucknow Super Giants,1.6419753086419753,21.432257486416447
2025,Mumbai Indians,3.197802197802198,43.405023410002094
2025,Punjab Kings,2.3333333333333335,16.868642656488845
2025,Rajasthan Royals,2.901840490797546,35.65966413423148
2025,Royal Challengers Bengaluru,2.6705882352941175,10.973979148247096
2025,Sunrisers Hyderabad,2.0569620253164556,25.812659576941243
